"STATION","DIVISION","all","LAT","LON","geo_type","State_FIPS","County_FIPS","Tract_FIPS","f_pop","all_pop","p_emp_info","p_f_pop","p_emp_prof","p_75_100k","p_over_100k"
"ATLANTIC AV","BMT",164464309,40.675554,-73.9030576,"establishment","36","047","114400","1627","2394",0.0144014401440144,0.679615705931495,0.0414041404140414,0.065,0.035
"AVENUE H","BMT",5042404879,40.6297445,-73.9616617,"establishment","36","047","053200","1533","2740",0.0105633802816901,0.559489051094891,0.0783450704225352,0.149,0.166
"AVENUE I","IND",442175129,40.6253361,-73.9760393,"establishment","36","047","046202","1069","2041",0.0287206266318538,0.523762861342479,0.087467362924282,0.165,0.188
"AVENUE J","BMT",982563414,40.6252684,-73.9607296,"establishment","36","047","053200","1533","2740",0.0105633802816901,0.559489051094891,0.0783450704225352,0.149,0.166
"AVENUE M","BMT",4870845102,40.6180725,-73.9593745,"establishment","36","047","076800","1686","3183",0.0392576730906495,0.529688972667295,0.0742326909350464,0.123,0.091
"AVENUE N","IND",55652901381,40.6997972,-73.9500581,"establishment","36","047","050700","1365","2867",0.0443828016643551,0.476107429368678,0.072122052704577,0.022,0.097
"AVENUE P","IND",588667387,40.6997972,-73.9500581,"establishment","36","047","050700","1365","2867",0.0443828016643551,0.476107429368678,0.072122052704577,0.022,0.097
"AVENUE U","BMT",5040507557,40.5993,-73.955929,"establishment","36","047","058000","2050","4129",0.0373975409836066,0.496488253814483,0.0584016393442623,0.078,0.088
"AVENUE U","IND",61861613429,40.5968465,-73.973351,"establishment","36","047","039800","1463","2737",0,0.534526854219949,0.0486763450042699,0.142,0.167
"AVENUE X","IND",144790948,40.5896822,-73.9742509,"establishment","36","047","030800","932","1988",0,0.468812877263582,0.07625,0.105,0.128
"B'WAY-LAFAYETTE","IND",83097835941,40.7250151,-73.9956959,"establishment","36","061","004300","2058","3931",0.0457329522253981,0.523530908165861,0.350347080440996,0.143,0.393
"BAY 50 ST","BMT",559866350,40.5888329,-73.9838481,"establishment","36","047","030600","892","1702",0.0218508997429306,0.524089306698002,0.0951156812339332,0.107,0.146
"BAY PKWY","BMT",89859326926,40.61188,-73.9818711,"establishment","36","047","043200","2212","4323",0.0203373015873016,0.511681702521397,0.0337301587301587,0.085,0.115
